"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"127",23,"DEN","Tyronn Lue",11,554,0.437,0.391,0.829,22.7,8.5,1.7,3.1,19.7,0.075,"-1.8",0.6,1731,0.516,0.018,1.19,902,0.614190687361419,"G",3.49580282677342,"16-30",2.8526232644035,19,0.643179562369916
"128",24,"SAS","Felipe Lopez",4,249,0.432,0.327,0.659,16.6,5.8,2.4,1,3.1,0.036,"-2.5",-0.5,1732,0.647,0.249,1.02,328,0.759146341463415,"G",2.30360583602095,"16-30",3.01275508091882,20,-0.709149244897867
"129",25,"IND","Al Harrington",16,981,0.444,0.352,0.727,28.6,13.5,5.6,1.7,42.5,0.073,"-1.5",3.7,1733,0.875,0.251,1.874,1312,0.747713414634146,"F",4.37068423836551,"16-30",2.46676606636341,20,1.9039181720021
"130",26,"LAL","Sam Jacobson",3,68,0.511,0.36,0.739,11.1,4.2,1.2,0.5,1.1,0.071,"-3.9",-0.4,1734,0.485,0.044,0.5,246,0.276422764227642,"G",1.56443470756241,"16-30",2.63290018518975,17,-1.06846547762733
"131",27,"SEA","Vladimir Stepania",6,270,0.425,0.133,0.536,13.8,4.1,4.4,0.3,5.2,0.067,"-3.3",-1.2,1735,0.407,0.533,0.789,492,0.548780487804878,"C",1.20088677435107,"16-30",2.75816560979671,18,-1.55727883544564
"132",28,"CHI","Corey Benjamin",4,153,0.39,0.289,0.652,14.3,5.5,1.7,0.9,-0.9,-0.019,"-4.8",-1.6,1736,0.464,0.314,1.072,328,0.466463414634146,"G",2.07801873752551,"16-30",2.42838908895637,17,-0.350370351430856
"133",29,"UTA","Nazr Mohammed",18,1005,0.486,0,0.64,15.8,5.8,4.7,0.4,34.3,0.104,"-2.6",-2.2,1737,0.43,0.636,0.914,1476,0.68089430894309,"C",1.54405455069215,"16-30",1.86228316485971,16,-0.318228614167561
"134",30,"DAL","Ansu Sesay",4,127,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,0.051,"-3.3",-0.4,1738,0.299,0.236,0.457,328,0.38719512195122,"F",1.12450797079527,"16-30",2.5273441285607,13,-1.40283615776544
"135",31,"LAL","Ruben Patterson",10,649,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,0.106,"0.7",10.8,1739,1.157,0.384,1.797,820,0.791463414634146,"F",3.60552586646351,"31-60",2.89122383043389,15,0.714302036029625
"136",32,"SEA","Rashard Lewis",16,1049,0.452,0.386,0.805,32,14.9,5.2,1.7,90.9,0.13,"1.9",33.1,1740,1.063,0.516,1.503,1312,0.799542682926829,"F",4.8391946070519,"31-60",2.19624475321621,11,2.6429498538357
"137",33,"SEA","Jelani McCoy",8,260,0.539,0,0.49,14.7,4.6,3.5,0.5,5.1,0.064,"-2.9",-0.9,1741,0.288,0.742,0.942,656,0.396341463414634,"F",1.57046474221622,"31-60",1.91168645371807,12,-0.341221711501847
"138",34,"CHI","Shammond Williams",7,325,0.401,0.366,0.798,16.5,5.8,1.6,2.4,8.8,0.079,"-0.7",1.7,1742,0.603,0.043,1.018,574,0.566202090592335,"G",2.52236297469888,"31-60",2.17911092621254,12,0.343252048486345
"139",35,"DAL","Bruno Sundov",7,102,0.356,0.208,0.526,5.1,1.7,1,0.2,-0.7,-0.062,"-8.9",-0.9,1743,0.147,0.137,0.294,574,0.177700348432056,"C",0.459696370293481,"31-60",2.27861211179468,12,-1.8189157415012
"140",36,"SAC","Jerome James",9,358,0.485,0,0.617,13.3,4.3,3.1,0.3,2.9,0.029,"-4.9",-3.5,1744,0.257,1.073,1.126,738,0.485094850948509,"C",1.10059059706923,"31-60",1.85651999136716,11,-0.755929394297931
"141",39,"MIL","Rafer Alston",11,671,0.383,0.354,0.729,28.9,10.1,2.8,4.8,32.9,0.081,"0",9.6,1747,1.212,0.156,1.781,902,0.74390243902439,"G",4.53474460622836,"31-60",2.5674822870241,11,1.96726231920427
