"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"427",12,"NOK","Hilton Armstrong",6,292,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,"-4.1",-1.8,200756,0.308,0.486,0.788,492,0.59349593495935,"F",0.96603668816359
"428",13,"PHI","Thabo Sefolosha",14,869,0.449,0.349,0.732,21.9,5.7,3.7,1.4,39.3,0.099,"0.6",12.4,200757,1.076,0.421,0.869,1148,0.756968641114983,"F",2.10923948725562
"429",14,"UTA","Ronnie Brewer",8,502,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,"1.6",10.6,200758,1.239,0.239,0.777,656,0.765243902439024,"F",2.65339623120819
"430",15,"NOK","Cedric Simmons",3,75,0.409,0,0.39,9.4,2.2,1.9,0.2,0.1,0.005,"-5",-0.5,200759,0.147,0.427,0.4,246,0.304878048780488,"F",0.731104118399907
"431",16,"CHI","Rodney Carney",5,299,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,"-1.6",0.5,200760,0.532,0.334,0.525,410,0.729268292682927,"F",1.70307305317324
"432",17,"IND","Shawne Williams",7,314,0.403,0.339,0.755,17.1,5.6,3,0.7,6.7,0.06,"-2.2",-0.3,200761,0.404,0.497,0.627,574,0.547038327526132,"F",1.80907597947139
"433",18,"WAS","Oleksiy Pecherov",3,111,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,"-4.8",-0.7,200762,0.189,0.198,0.532,246,0.451219512195122,"F",1.12687314571063
"434",19,"SAC","Quincy Douby",3,143,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0,0,"-3.5",-0.6,200763,0.35,0.147,0.608,246,0.58130081300813,"G",1.87613863758242
"435",20,"NYK","Renaldo Balkman",6,221,0.51,0.172,0.542,13.9,4,3.5,0.6,7.2,0.113,"0.1",1.6,200764,0.742,0.471,0.606,492,0.449186991869919,"F",1.39500570283215
"436",21,"PHO","Rajon Rondo",16,957,0.456,0.324,0.611,29.9,9.8,4.5,7.9,61.8,0.104,"1.2",23.2,200765,1.586,0.131,2.702,1312,0.729420731707317,"G",5.93647445073761
"437",22,"NJN","Marcus Williams",4,203,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0,-0.001,"-3.3",-1,201173,0.005,0.005,0,328,0.61890243902439,"G",2.91448811793867
"438",23,"NJN","Josh Boone",4,256,0.544,0,0.445,17.5,5.2,4.9,0.5,9.1,0.097,"-2",0,200767,0.387,0.695,0.66,328,0.780487804878049,"F",1.76657871015717
"439",24,"MEM","Kyle Lowry",19,1173,0.423,0.368,0.815,31.3,13.9,4.2,6.1,112.6,0.147,"2.7",43.3,200768,1.279,0.299,2.242,1558,0.752888318356868,"G",7.05205858051645
"440",25,"CLE","Shannon Brown",9,408,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,"-1.5",1,200769,0.696,0.221,0.926,738,0.552845528455285,"G",3.38367325008323
"441",26,"LAL","Jordan Farmar",10,504,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,"-0.5",3.7,200770,0.776,0.111,1.379,820,0.614634146341463,"G",3.75288600200012
"442",27,"PHO","Sergio Rodriguez",5,353,0.409,0.337,0.739,15,4.9,1.5,3.4,4.3,0.039,"-2",0.1,200771,0.601,0.037,1.391,410,0.860975609756098,"G",2.74538368148084
"443",28,"DAL","Maurice Ager",4,82,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,"-9.4",-0.9,200772,0.073,0.073,0.354,328,0.25,"F",0.590123888637
"444",29,"NYK","Mardy Collins",4,189,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,"-4.4",-1.7,200776,0.582,0.116,1.074,328,0.576219512195122,"G",2.10931916438763
"445",30,"POR","Joel Freeland",3,151,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,"-3.3",-0.6,200777,0.212,0.371,0.49,246,0.613821138211382,"C",1.01957011713247
"446",31,"POR","James White",3,67,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,"-3.2",-0.2,200778,0.254,0.09,0.373,246,0.272357723577236,"G",1.29436022962346
"447",32,"HOU","Steve Novak",11,467,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,"0.8",4,200779,0.195,0.081,0.173,902,0.517738359201774,"F",1.32754899416323
"448",33,"ATL","Solomon Jones",8,281,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,"-4",-1.6,200780,0.206,0.548,0.573,656,0.428353658536585,"F",1.02008701455145
"449",34,"LAC","Paul Davis",4,82,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,"-4.2",-0.4,200781,0.268,0.183,0.366,328,0.25,"C",0.7484975745217
"450",35,"TOR","P.J. Tucker",14,886,0.425,0.366,0.75,28.2,6.6,5.4,1.4,43.3,0.083,"-1",6.4,NA,1.064,0.274,0.921,1148,0.77177700348432,"F",2.39995101283907
"451",36,"MIN","Craig Smith",6,403,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16,0.113,"-1.2",1.4,200783,0.454,0.226,1.025,492,0.81910569105691,"F",2.32986232221745
