"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"734",44,"DAL","Mike Muscala",11,548,0.451,0.373,0.83,15,5.9,3.1,0.8,19.2,0.112,"-0.2",3.7,203488,0.318,0.453,0.551,902,0.607538802660754,"F",1.93118189805101
"735",47,"ATL","Raul Neto",8,435,0.458,0.361,0.812,15.6,5.7,1.5,2.1,11.6,0.082,"-1.5",0.8,203526,0.641,0.078,0.915,656,0.663109756097561,"G",2.79892600053276
"736",48,"LAL","Ryan Kelly",4,163,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,"-2.6",-0.5,203527,0.485,0.515,0.65,328,0.496951219512195,"F",2.15206600958608
"737",50,"ATL","James Ennis III",8,395,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,"-1.5",0.9,203516,0.618,0.286,0.767,656,0.602134146341463,"F",2.13427778295052
"738",52,"MIN","Lorenzo Brown",5,103,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,"-3.5",-0.5,203485,0.592,0.146,0.718,410,0.251219512195122,"G",1.67517766517243
"739",55,"MEM","Joffrey Lauvergne",4,208,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,"-2.1",-0.1,203530,0.264,0.163,0.793,328,0.634146341463415,"C",1.57553498265645
"740",1,"CLE","Andrew Wiggins",11,766,0.449,0.356,0.725,33.8,18.5,4.5,2.3,33.1,0.061,"-1.4",4.2,203952,1.042,0.736,1.969,902,0.849223946784922,"F",5.63534497231017
"741",2,"MIL","Jabari Parker",8,310,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,"-0.8",2.5,203953,0.874,0.381,1.723,656,0.472560975609756,"F",4.44672828733925
"742",3,"PHI","Joel Embiid",9,452,0.501,0.339,0.828,31.9,27.7,11,3.7,64.9,0.216,"6.9",32.2,203954,0.951,1.701,3.615,738,0.612466124661247,"C",6.62333649379672
"743",4,"ORL","Aaron Gordon",11,720,0.484,0.331,0.693,29.3,13.6,6.2,2.7,46.9,0.107,"0.3",12.5,203932,0.747,0.624,1.517,902,0.798226164079823,"F",4.6992233338163
"744",5,"UTA","Dante Exum",8,320,0.435,0.343,0.765,18.8,6.2,1.9,2.3,6.6,0.053,"-2.8",-1.2,203957,0.422,0.162,1.184,656,0.48780487804878,"G",3.07839494441323
"745",6,"BOS","Marcus Smart",11,635,0.388,0.324,0.776,29.5,10.6,3.4,4.6,34.2,0.088,"-0.4",7.7,203935,1.646,0.38,1.995,902,0.703991130820399,"G",5.4553711955107
"746",7,"LAL","Julius Randle",11,710,0.471,0.334,0.753,32,19,9.1,3.8,49.6,0.105,"1",17,203944,0.768,0.417,2.996,902,0.787139689578714,"F",6.45862935879918
"747",8,"SAC","Nik Stauskas",6,343,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,"-3",-1.7,203917,0.405,0.233,0.991,492,0.697154471544715,"G",3.13939810023917
"748",9,"CHO","Noah Vonleh",8,362,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,"-2.5",-0.7,203943,0.384,0.398,0.768,656,0.551829268292683,"F",1.65928290627739
"749",10,"PHI","Elfrid Payton",9,524,0.444,0.286,0.623,26.5,9.8,4,5.8,15.1,0.052,"-1.1",3.1,203901,1.168,0.309,2.181,738,0.710027100271003,"G",5.45407925108187
"750",11,"DEN","Doug McDermott",11,697,0.47,0.411,0.804,19.5,8.6,2.1,1,21.5,0.076,"-2.1",-0.5,203926,0.209,0.092,0.63,902,0.772727272727273,"F",2.58298827528421
"751",12,"ORL","Dario Saric",8,493,0.444,0.36,0.837,22.5,10.4,5.3,1.9,20.9,0.091,"-0.8",3.5,203967,0.564,0.197,1.467,656,0.751524390243902,"F",3.48215816586816
"752",13,"MIN","Zach LaVine",11,654,0.47,0.391,0.833,32.8,20.8,4.1,4,37.3,0.083,"0.7",14.5,203897,0.913,0.294,2.749,902,0.725055432372506,"G",9.12264539222039
"753",14,"PHO","T.J. Warren",9,385,0.505,0.351,0.78,26.9,14.3,3.9,1.2,20.9,0.097,"-0.4",4.1,203933,0.917,0.47,0.948,738,0.521680216802168,"F",4.18317738620893
"754",15,"ATL","Adreian Payne",4,107,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,"-5.9",-1.4,203940,0.421,0.252,0.841,328,0.326219512195122,"F",1.31040425836363
"755",16,"CHI","Jusuf Nurkic",11,590,0.501,0.285,0.667,24.3,11.8,8.8,2.5,33.2,0.111,"0.4",8.6,203994,0.993,1.131,2.298,902,0.65410199556541,"C",3.57883826249198
"756",17,"BOS","James Young",4,95,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,"-3.4",-0.3,203923,0.253,0.053,0.158,328,0.289634146341463,"G",1.10425745548462
"757",18,"PHO","Tyler Ennis",4,186,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,"-3.4",-0.8,203898,0.527,0.097,0.919,328,0.567073170731707,"G",2.17288616674718
"758",19,"CHI","Gary Harris",11,618,0.446,0.369,0.81,27,10.4,2.3,1.8,26.8,0.077,"-1.4",2.7,203914,1.113,0.233,1.049,902,0.685144124168514,"G",4.62983347263613
"759",20,"TOR","Bruno Caboclo",7,105,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,"-2.7",-0.2,203998,0.343,0.562,0.657,574,0.182926829268293,"F",1.43736319663872
"760",23,"UTA","Rodney Hood",8,448,0.42,0.366,0.841,24.5,10.4,2.6,1.6,17.4,0.076,"-1.2",2.2,203918,0.672,0.179,0.951,656,0.682926829268293,"G",4.61540316459562
"761",24,"CHO","Shabazz Napier",6,345,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,"-0.7",2,203894,0.829,0.139,1.31,492,0.701219512195122,"G",3.46587471932263
"762",25,"HOU","Clint Capela",11,664,0.617,0,0.544,26.2,12,10.5,1,69.6,0.192,"1.6",15.9,203991,0.709,1.48,1.087,902,0.736141906873614,"C",3.4541119018637
"763",27,"PHO","Bogdan Bogdanovic",8,503,0.437,0.382,0.846,28.4,14.3,3.3,3.2,24.8,0.083,"0.2",7.9,203992,1.02,0.256,1.467,656,0.766768292682927,"G",6.48314037596844
"764",28,"LAC","C.J. Wilcox",3,66,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,"-4.3",-0.2,NA,0.197,0.045,0.182,246,0.268292682926829,"G",0.952629823554202
"765",29,"OKC","Josh Huestis",3,76,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,"-3.5",-0.4,203962,0.211,0.632,0.382,246,0.308943089430894,"G",1.47297327009496
"766",30,"SAS","Kyle Anderson",11,714,0.478,0.34,0.716,21.5,6.8,4.3,2.8,39.4,0.123,"1.7",14.5,203937,1.011,0.632,1.024,902,0.791574279379157,"F",2.98817815000519
"767",32,"PHI","K.J. McDaniels",3,148,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,"-2.8",-0.4,NA,0.473,0.635,1.02,246,0.601626016260163,"F",1.6279235633393
"768",33,"CLE","Joe Harris",10,504,0.479,0.436,0.771,24.4,10.3,3,1.6,23.1,0.09,"-0.7",4.1,203925,0.478,0.188,1.036,820,0.614634146341463,"G",4.63720664005282
"769",35,"UTA","Jarnell Stokes",3,28,0.581,0,0.531,5.4,2.4,1.4,0.3,0.6,0.202,"0.1",0.1,203950,0.25,0.179,0.25,246,0.113821138211382,"F",0.769873830697471
"770",36,"MIL","Johnny O'Bryant",4,147,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,"-6.2",-1.8,NA,0.218,0.129,0.524,328,0.448170731707317,"Unknown",NA
"771",38,"DET","Spencer Dinwiddie",11,621,0.414,0.333,0.796,27.7,13,3,5.1,36,0.1,"-0.1",8.1,203915,0.721,0.269,1.622,902,0.688470066518847,"G",6.30326713737578
"772",39,"PHI","Jerami Grant",11,719,0.449,0.364,0.753,27.9,13.1,3.9,1.6,36.6,0.088,"-0.5",7.8,203924,0.707,1.072,1.371,902,0.797117516629712,"F",4.08297867916094
"773",40,"MIN","Glenn Robinson III",7,304,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,"-1.7",0.4,203922,0.49,0.191,0.51,574,0.529616724738676,"F",1.87345983665758
"774",41,"DEN","Nikola Jokic",10,745,0.56,0.36,0.824,31.7,21.8,10.9,7.2,128,0.26,"10.3",73.3,203999,1.338,0.752,3.082,820,0.908536585365854,"C",7.01198714291729
"775",44,"MIN","Markel Brown",3,113,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,"-2.9",-0.4,203900,0.611,0.239,0.735,246,0.459349593495935,"G",2.55875266609254
"776",45,"CHO","Dwight Powell",11,705,0.604,0.294,0.736,17.8,6.7,4.2,1,47.9,0.183,"0.8",9,203939,0.616,0.455,0.687,902,0.78159645232816,"F",2.25540496697082
"777",46,"WAS","Jordan Clarkson",11,753,0.436,0.336,0.829,27.7,16,3.4,2.9,24,0.055,"-0.9",5.5,203903,0.843,0.162,1.943,902,0.834811529933481,"G",7.0345052482496
"778",51,"NYK","Thanasis Antetokounmpo",6,198,0.509,0.143,0.529,7.7,2.4,1.6,0.6,1.9,0.059,"-4.3",-0.9,203648,0.308,0.172,0.556,492,0.402439024390244,"F",0.869126469300254
"779",58,"SAS","Jordan McRae",4,123,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,"-2.1",0,203895,0.366,0.244,0.707,328,0.375,"G",3.1560450754486
"780",1,"MIN","Karl-Anthony Towns",10,645,0.524,0.4,0.837,34.1,23.1,11.1,3.2,85.1,0.186,"4.4",35.3,1626157,0.873,1.242,2.887,820,0.786585365853659,"C",5.7997324299584
"781",2,"LAL","D'Angelo Russell",10,629,0.427,0.365,0.796,29.8,17.3,3.4,5.7,26.5,0.068,"0.6",12.4,1626156,1.078,0.332,2.695,820,0.767073170731707,"G",8.06806785569477
"782",3,"PHI","Jahlil Okafor",7,248,0.542,0.222,0.676,19.5,10.3,4.7,0.9,7.2,0.071,"-2",0,1626143,0.294,0.786,1.399,574,0.43205574912892,"C",2.37794472589963
"783",4,"NYK","Kristaps Porzingis",9,501,0.461,0.366,0.829,30.8,19.6,7.8,1.8,48,0.15,"2.7",18.1,204001,0.747,1.858,1.699,738,0.678861788617886,"F",6.05317295194457
"784",5,"ORL","Mario Hezonja",5,330,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,"-2.8",-1.2,1626209,0.736,0.242,1.124,410,0.804878048780488,"F",2.29279416122231
"785",6,"SAC","Willie Cauley-Stein",7,422,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,"-0.1",4.4,1626161,0.827,0.794,0.91,574,0.735191637630662,"C",2.53164702959876
"786",7,"DEN","Emmanuel Mudiay",6,302,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,"-3.2",-2.2,1626144,0.712,0.291,2.219,492,0.613821138211382,"G",5.26522164162807
"787",8,"DET","Stanley Johnson",8,449,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,"-2.7",-1.6,1626169,0.853,0.236,1.069,656,0.684451219512195,"F",2.20143204069978
"788",9,"CHO","Frank Kaminsky",8,413,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,"-0.2",3.7,1626163,0.421,0.354,0.76,656,0.629573170731707,"F",2.97984776871528
"789",10,"MIA","Justise Winslow",8,344,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,"-2.1",-0.3,1626159,0.892,0.398,1.453,656,0.524390243902439,"F",3.22631551062134
"790",11,"IND","Myles Turner",10,642,0.499,0.362,0.771,28.7,14.1,6.8,1.3,48.7,0.127,"0.8",13,1626167,0.732,2.315,1.491,820,0.782926829268293,"C",3.49368217282622
"791",12,"UTA","Trey Lyles",10,650,0.441,0.347,0.741,18.4,7.6,4.3,1.1,22,0.088,"-1",3,1626168,0.4,0.352,0.795,820,0.792682926829268,"F",2.50522510832084
"792",13,"PHO","Devin Booker",10,673,0.464,0.354,0.873,34.4,24.4,4,5.2,51.5,0.107,"1.1",17.9,1626164,0.912,0.3,3.226,820,0.820731707317073,"G",10.6427107760589
"793",14,"OKC","Cameron Payne",10,477,0.419,0.368,0.836,17.5,7.8,2,3.2,13.9,0.08,"-0.6",3,1626166,0.633,0.205,1.105,820,0.581707317073171,"G",3.8716146739941
"794",15,"ATL","Kelly Oubre Jr.",10,655,0.438,0.325,0.751,27.1,13.3,4.6,1.1,24.8,0.067,"-1.9",0.6,1626162,1.093,0.524,1.163,820,0.798780487804878,"F",3.91785885647837
"795",16,"BOS","Terry Rozier",10,665,0.418,0.361,0.829,27.6,13.9,3.9,3.5,30.6,0.08,"0.2",10.1,1626179,0.923,0.247,1.349,820,0.810975609756098,"G",6.49060039265244
"796",17,"MIL","Rashad Vaughn",3,139,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,"-4.7",-1.2,1626173,0.381,0.209,0.345,246,0.565040650406504,"G",1.4462819066081
"797",18,"HOU","Sam Dekker",5,201,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,"-1.4",0.5,1626155,0.502,0.184,0.488,410,0.490243902439024,"F",1.77565767080599
"798",19,"WAS","Jerian Grant",5,279,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,"-1.6",0.5,1626170,0.735,0.118,0.982,410,0.680487804878049,"G",3.17199741410087
"799",20,"TOR","Delon Wright",10,548,0.447,0.348,0.799,20.4,6.7,3,3,28.9,0.124,"1.9",11.1,1626153,1.195,0.343,0.87,820,0.668292682926829,"G",3.6466368842426
"800",21,"DAL","Justin Anderson",6,242,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,"-1.5",0.4,1626147,0.434,0.331,0.583,492,0.491869918699187,"F",1.73580817553659
"801",22,"CHI","Bobby Portis",10,654,0.478,0.383,0.765,22.8,12,7.2,1.3,33.8,0.109,"-0.4",6,1626171,0.644,0.39,1.17,820,0.797560975609756,"F",3.79802892857935
"802",23,"POR","Rondae Hollis-Jefferson",6,305,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,"-0.7",2.3,1626178,0.911,0.531,1.285,492,0.619918699186992,"F",3.2019131427276
"803",24,"CLE","Tyus Jones",10,682,0.445,0.378,0.821,21.1,7.7,2,4.4,33.9,0.113,"0.5",9.3,1626145,1.026,0.1,0.837,820,0.831707317073171,"G",4.0790050763222
"804",25,"MEM","Jarell Martin",4,184,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,"-4.3",-1.7,1626185,0.364,0.397,0.783,328,0.560975609756098,"F",1.71666683921764
"805",27,"LAL","Larry Nance Jr.",10,546,0.539,0.353,0.696,23.1,7.7,6.1,1.9,34.7,0.132,"1.2",10.3,1626204,1.165,0.498,0.943,820,0.665853658536585,"F",2.93499849662535
"806",28,"BOS","R.J. Hunter",4,45,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,"-2",0,NA,0.4,0.089,0.289,328,0.13719512195122,"G",1.39188514696617
"807",29,"BRK","Chris McCullough",3,59,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,"-2.5",-0.1,1626191,0.508,0.322,0.339,246,0.239837398373984,"F",1.02340962816621
"808",30,"GSW","Kevon Looney",10,599,0.575,0.185,0.608,17.2,5,5.7,1.6,37.4,0.174,"0.4",6.2,1626172,0.518,0.551,0.598,820,0.730487804878049,"F",2.17757008143447
"809",31,"MIN","Cedi Osman",7,476,0.432,0.357,0.711,22.7,9.3,3,2,12.5,0.055,"-2.1",-0.3,1626224,0.655,0.149,1.015,574,0.829268292682927,"F",3.17010166142304
"810",32,"HOU","Montrezl Harrell",8,515,0.619,0.108,0.664,20.5,12.1,5,1.3,42.9,0.195,"2.6",12.2,1626149,0.522,0.784,1.068,656,0.785060975609756,"F",3.77445424918535
"811",33,"BOS","Jordan Mickey",3,64,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,"-4.8",-0.3,1626175,0.141,0.422,0.438,246,0.260162601626016,"C",0.71050372387769
"812",34,"LAL","Anthony Brown",3,41,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,"-5.1",-0.6,1626148,0.463,0.146,0.512,246,0.166666666666667,"F",1.3188539555551
"813",35,"PHI","Willy Hernangomez",7,344,0.533,0.306,0.713,15,7.3,5.8,1.1,16.3,0.152,"0.1",2.8,1626195,0.422,0.39,1.009,574,0.599303135888502,"C",2.13517664229743
"814",37,"PHI","Richaun Holmes",10,489,0.605,0.269,0.751,19.1,8.5,5.3,1,30.7,0.158,"0.1",5,1626158,0.497,0.918,0.83,820,0.596341463414634,"F",2.80553898574052
"815",38,"DET","Darrun Hilliard",3,91,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,"-4.7",-0.6,1626199,0.242,0.033,0.56,246,0.369918699186992,"G",1.5095635096322
"816",40,"MIA","Josh Richardson",10,554,0.428,0.363,0.846,28.5,11.5,3,2.6,27.7,0.084,"-0.6",5.5,1626196,1.022,0.536,1.321,820,0.675609756097561,"G",5.33008522635286
"817",41,"BRK","Pat Connaughton",10,595,0.438,0.356,0.773,19.2,6,3.4,1.4,24.6,0.103,"-0.5",4.4,1626192,0.484,0.269,0.558,820,0.725609756097561,"G",3.11248849756246
"818",43,"IND","Joe Young",3,127,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,"-4.1",-0.6,1626202,0.26,0.008,0.504,246,0.516260162601626,"G",1.61877808599162
"819",44,"PHO","Andrew Harrison",3,145,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,"-2.8",-0.6,1626150,0.655,0.338,1.228,246,0.589430894308943,"G",3.51453833752063
"820",46,"MIL","Norman Powell",10,617,0.471,0.398,0.824,24.2,13.2,2.7,1.5,32.4,0.104,"0",7.7,1626181,0.903,0.279,1.391,820,0.752439024390244,"G",5.65324369849025
